entry_id,date,area,title,description,status,key_paths
1,2026-03-29,trits,NOVT trit codec,"Packed balanced trits {-1;0;1} at 2 bits/trit; magic NOVT; pack/unpack APIs",done,SOURCE/src/v2-rust/killer/src/nova_trit_codec.rs
2,2026-03-31,trits,NOVD dense trit codec,"Base-3 integer packing ~log2(3) bits/trit; magic NOVD; pack_trits_novd / unpack_novd_trits",done,SOURCE/src/v2-rust/killer/src/nova_trit_codec.rs
3,2026-03-31,benchmark,csv_format_compare binary,"~10 MiB CSV size table: CSV to NOVZ; CSV to KORE; CSV to KPAR; KORE to NOVZ; NOVT/NOVD demos and NOVZ stack; human Size + Bytes columns",done,"SOURCE/src/v2-rust/killer/src/bin/csv_format_compare.rs; cargo run --release --bin csv_format_compare"
4,2026-03-31,benchmark,kore_nova_format_bench binary,"~10 MiB CSV encode/decode ms + size table vs NOVZ; KORE KPAR KORE-NOVZ rows; human Size + comma bytes",done,"SOURCE/src/v2-rust/killer/src/bin/kore_nova_format_bench.rs; cargo run --release --bin kore_nova_format_bench"
5,2026-03-31,docs,QUICKSTART bench sections,Documented csv_format_compare and kore_nova_format_bench commands,done,SOURCE/src/v2-rust/killer/QUICKSTART.md
6,2026-03-29,tests,NOVT NOVD integration,"Round-trip and size checks for trit codecs",done,SOURCE/src/v2-rust/killer/tests/nova_trit_codec_integration.rs
7,2026-03-29,language,killer_super kfn + trinary examples,kfn transpiler support and trinary .killer examples (trinary_awake etc.),done,SOURCE/src/v2-rust/killer/examples/trinary_awake.killer
8,2026-03-29,nova,KORE vs NOVT positioning,Columnar KORE uses LZ internally; NOVT is trit packing only — documented in codec module comments,done,SOURCE/src/v2-rust/killer/src/nova_trit_codec.rs
9,2026-03-31,ui,killer_ui engine roadmap,Phased plan for native UI and operator-style graphs (TouchDesigner-inspired goals); stub module + docs,done,"SOURCE/docs/KILLER_UI_ENGINE.md; SOURCE/src/v2-rust/killer/src/killer_ui/mod.rs"
10,2026-03-31,ui,killer_ui A+B+C+D parallel,A patch model; B run_demo_window stub offline; C OperatorGraph topo+cook; D Workspace+panels; killer_ui_demo + ui_parallel_sketch.killer,done,"SOURCE/src/v2-rust/killer/src/killer_ui/; SOURCE/src/v2-rust/killer/src/bin/killer_ui_demo.rs; examples/ui_parallel_sketch.killer"
11,2026-03-31,ui,Web stack concepts in killer_ui,Three.js Angular React Node patterns documented; web_stack module UiParadigm LayoutHints hooks; KILLER_UI_ENGINE.md table,done,"SOURCE/docs/KILLER_UI_ENGINE.md; SOURCE/src/v2-rust/killer/src/killer_ui/web_stack.rs"
12,2026-03-31,language,EBNF grammar extended,"match async_fn spawn import switch do_while added spec-ahead; parser/compiler catch up later",done,SOURCE/docs/KILLER_GRAMMAR.ebnf
13,2026-05-30,language,Merge parsers single pipeline,"parser.rs folded into lexer.rs + stmt_parser.rs one AST path - COMPLETE: Deleted legacy parser.rs (not imported anywhere), lexer.rs + stmt_parser.rs form unified AST pipeline",done,"SOURCE/src/v2-rust/killer/src/lexer.rs; stmt_parser.rs"
14,2026-03-31,language,kfn to fn deprecation note,Guide migration away from duplicate kfn keyword,pending,SOURCE/docs/KILLER_LANGUAGE_GUIDE.md
15,2026-05-30,language,match expression wired,"Stmt::Match Token Match compile to Eq + JumpIfFalse chains - COMPLETE: Added TokenKind::Match to lexer, parse_match/parse_match_pattern to stmt_parser, wired parse_stmt",done,"SOURCE/src/v2-rust/killer/src/lexer.rs; stmt_parser.rs; examples/test_match.killer"
16,2026-03-31,language,Destructuring let bindings,"let [a b] = arr emit IndexRead + StoreSlot per Pattern",pending,SOURCE/src/v2-rust/killer/src/compiler.rs
17,2026-03-31,compiler,Constant folding optimizer,fuse_slot_patterns numeric bool compare,done,SOURCE/src/v2-rust/killer/src/optimizer.rs
18,2026-03-31,compiler,Dead store to Pop,dead_store_unused_slot_becomes_pop slot liveness,done,SOURCE/src/v2-rust/killer/src/optimizer.rs
19,2026-03-31,compiler,TailCall opcode,self tail calls compiler + VM + mini interpreter approx,done,"SOURCE/src/v2-rust/killer/src/bytecode.rs; compiler.rs; vm.rs"
20,2026-03-31,compiler,NaN-boxing VM values,Use nanbox.rs for inline scalars heap only for aggregate values,pending,"SOURCE/src/v2-rust/killer/src/nanbox.rs; vm.rs; value.rs"
21,2026-03-31,compiler,Register temps for expressions,Extend slot allocation for temporaries in expr codegen,pending,SOURCE/src/v2-rust/killer/src/compiler.rs
22,2026-03-31,compiler,Loop-invariant hoisting,Optimizer pass hoist LoadSlot CallBuiltin above loop header,pending,SOURCE/src/v2-rust/killer/src/optimizer.rs
23,2026-03-31,security,CapabilitySet enforced builtins,require_* thread-local CapabilityScopeGuard VM run spawn ImportPkg child VM caps gated builtins,done,"SOURCE/src/v2-rust/killer/src/security.rs; vm.rs; builtin.rs; http_client.rs; polyglot.rs; khlm_polyglot.rs; vision.rs; image_gen.rs; tool_calling.rs; kala_ui.rs"
24,2026-03-31,security,Execution budget in VM,Per-opcode step limit wall ms on backward Jump,done,"SOURCE/src/v2-rust/killer/src/vm.rs; security.rs"
25,2026-03-31,security,allow_native_jit gate,JIT fast path skipped when allow_native_jit false,done,SOURCE/src/v2-rust/killer/src/vm.rs
26,2026-03-31,security,Fuzz lexer and parser,cargo-fuzz lexer_parser 100k+ fix panics,pending,SOURCE/docs/FUZZING.md
27,2026-03-31,security,CLI allow-all-paths flag,Replace loose allow_unrestricted_file_access with explicit flag,pending,"SOURCE/src/v2-rust/killer/src/main.rs; security.rs"
28,2026-03-31,security,Unsafe audit deny policy,UNSAFE_AUDIT targeted allows JIT VM value,done,SOURCE/docs/UNSAFE_AUDIT.md
29,2026-03-31,docs,IMPROVEMENT_10_TRACKER markdown,Living checklist synced with roadmap,done,SOURCE/docs/IMPROVEMENT_10_TRACKER.md
30,2026-03-31,docs,KILLER_LANGUAGE_GUIDE,Exists baseline expand to 300+ lines tutorials,pending,SOURCE/docs/KILLER_LANGUAGE_GUIDE.md
31,2026-03-31,docs,BUILTIN_REFERENCE plus gen script,Builtin index automation,done,"SOURCE/docs/BUILTIN_REFERENCE.md; SOURCE/src/v2-rust/killer/scripts/gen-builtin-reference.ps1"
32,2026-03-31,docs,Archive session logs,Move DOCS MARCH SESSION phase1 logs to archive sessions,pending,DOCS/archive/sessions/
33,2026-03-31,docs,PERFORMANCE_ROADMAP native bench,Document manual tokens per sec for killer-native --model,done,SOURCE/docs/PERFORMANCE_ROADMAP.md
34,2026-03-31,docs,KILLER_ROADMAP_TO_10,Strategic roadmap companion to tracker,pending,SOURCE/docs/KILLER_ROADMAP_TO_10.md
35,2026-05-30,quality,cargo clippy -D warnings,"Zero warnings policy complete - Fixed 10 warnings: animation.rs (Default+sort_by), component.rs (Default), patch.rs (Default+sort_by), layout.rs (enumerate), variable_caching.rs (sort_by), runtime_optimization.rs (sort_by). All 1802 tests passing.",done,SOURCE/src/v2-rust/killer
36,2026-03-31,quality,Remove src bak files,ai_old.rs.bak absent inventory only,n/a,_LOGS and docs only
37,2026-03-31,quality,phase stub delete policy,phase_46 and phase_49 contain real tests do not delete blindly,done,SOURCE/docs/IMPROVEMENT_10_TRACKER.md
38,2026-03-31,quality,Consolidate JIT modules,jit_compiler jit_engine week6 into jit submodule,pending,SOURCE/src/v2-rust/killer/src/jit*.rs
39,2026-03-31,quality,deny unsafe_code crate-wide,Explicit allows in JIT FFI VM,done,SOURCE/src/v2-rust/killer/src/lib.rs
40,2026-03-31,ai,kala-setup.ps1,Ollama detect pull model smoke optional killer-native kala_ask,done,SOURCE/scripts/kala-setup.ps1
41,2026-03-31,ai,tool_calling_demo killer plus JSON,readFile parse_json khlm_with_tools full loop example,done,"SOURCE/src/v2-rust/killer/examples/tool_calling_demo.killer; tool_calling_demo_data.json"
42,2026-03-31,ai,builtin_dispatch module,Breaks builtin tool_calling cycle forward BuiltinFunctions::call,done,SOURCE/src/v2-rust/killer/src/builtin_dispatch.rs; lib.rs
43,2026-03-31,ai,Tool registry readFile parse_json,KhLM dispatcher routes to builtins via builtin_dispatch,done,SOURCE/src/v2-rust/killer/src/tool_calling.rs
44,2026-03-31,ai,Prune imagination affect placeholders,Real logic or remove canned strings,pending,"SOURCE/src/v2-rust/killer/src/imagination.rs; affect.rs"
45,2026-03-31,ai,Record native inference benchmark,Run --model qwen2.5 note tok per sec in roadmap,pending,SOURCE/docs/PERFORMANCE_ROADMAP.md
46,2026-03-31,tooling,killer fmt command,Wire formatter.rs --fmt to killer-native main,pending,"SOURCE/src/v2-rust/killer/src/formatter.rs; main.rs"
47,2026-03-31,tooling,killer test runner,Scan test star killer assert builtins pass fail count,pending,SOURCE/src/v2-rust/killer/src/main.rs
48,2026-03-31,tooling,LSP publishDiagnostics,compile_killer_default errors to textDocument,pending,SOURCE/src/v2-rust/lsp-server/src/main.rs
49,2026-03-31,tooling,VS Code extension publish,publisher field vsce package,pending,vscode extension package.json
50,2026-03-31,testing,Inline hash tests core,lexer compiler vm nova target 50 plus tests,pending,SOURCE/src/v2-rust/killer/src/
51,2026-03-31,testing,Fuzz target lexer_parser,Create fuzz run 100k iterations,pending,fuzz/
52,2026-03-31,testing,CI coverage tarpaulin,70 percent goal on core modules,pending,.github/workflows/
53,2026-03-31,testing,tests error_cases.rs,Division by zero syntax errors VmError variants not panic,pending,SOURCE/src/v2-rust/killer/tests/error_cases.rs
54,2026-03-31,performance,JIT hot loops with if else,jit_x86 detect_hot_pattern JumpIfFalse native jcc,pending,SOURCE/src/v2-rust/killer/src/jit_x86.rs
55,2026-03-31,performance,String interning ConstStr,HashSet Arc str in compiler,pending,SOURCE/src/v2-rust/killer/src/compiler.rs
56,2026-03-31,performance,PGO build script,profile generate run bench profile use rebuild,pending,SOURCE/scripts/pgo-build.ps1
57,2026-03-31,nova,CRC32 per column block,Four byte CRC after column payload verify decode,pending,SOURCE/src/v2-rust/killer/src/nova.rs
58,2026-03-31,nova,NOVA_FORMAT_SPEC formal doc,Byte layout codecs test vectors,pending,SOURCE/docs/NOVA_FORMAT_SPEC.md
59,2026-03-31,innovation,trit_sensor_demo killer,Fuzzy threshold Signal signal_and signal_or demo,done,SOURCE/src/v2-rust/killer/examples/trit_sensor_demo.killer
60,2026-03-31,innovation,Whitepaper trit signal qubit,Nova benchmarks 8 to 10 pages,pending,SOURCE/docs/
61,2026-03-31,meta,tracker.csv roadmap mirror,This file; keep in sync with IMPROVEMENT_10_TRACKER and KILLER_ROADMAP,done,tracker.csv
62,2026-03-31,scorecard,Language Design 8.5,match AST parser then compile_match merge parser.rs stmt_parser,pending,"SOURCE/docs/SCORECARD_TO_10.md; ast.rs; stmt_parser.rs; compiler.rs"
63,2026-03-31,scorecard,Compiler VM 9.0,NaN-boxing VM dispatch CFG liveness dead-store beyond conservative,pending,"SOURCE/docs/SCORECARD_TO_10.md; nanbox.rs; vm.rs; optimizer.rs"
64,2026-03-31,scorecard,Performance 9.5,Computed-goto or JIT non-counter loops full branchy loops,pending,"SOURCE/docs/SCORECARD_TO_10.md; jit_x86.rs; vm.rs"
65,2026-03-31,scorecard,Nova 9.5,Parallel encode low contention streaming decode,pending,"SOURCE/docs/SCORECARD_TO_10.md; nova.rs"
66,2026-03-31,scorecard,Innovation 9.5,Publish paper or spec trit Signal qubit type system,pending,SOURCE/docs/SCORECARD_TO_10.md
67,2026-03-31,scorecard,AI 8.5,Scripted Ollama to tool-call to structured parse e2e demo,pending,"SOURCE/docs/SCORECARD_TO_10.md; scripts/kala-setup.ps1; examples/tool_calling_demo.killer; tool_calling.rs"
